district,avg_price,rainfall,month,year
10,1360,0.9,1,2
10,1564,0.9,1,2
10,1406,0.9,1,2
10,1950,0.9,1,2
10,1580,0.9,1,2
10,1395,0.0,2,2
10,1470,0.0,2,2
10,1500,0.0,2,2
10,1350,0.0,2,2
10,1500,0.0,2,2
10,1500,0.0,2,2
10,1400,0.0,2,2
10,1350,0.0,2,2
10,1365,0.0,2,2
10,1450,0.0,2,2
10,1350,0.0,2,2
10,1608,0.0,2,2
10,1300,0.0,2,2
10,1690,30.4,3,2
10,1610,30.4,3,2
10,1610,30.4,3,2
10,1760,30.4,3,2
10,1650,30.4,3,2
10,1500,101.9,4,2
10,1500,101.9,4,2
10,1510,101.9,4,2
10,1430,101.9,4,2
10,1430,101.9,4,2
10,1540,101.9,4,2
10,1510,101.9,4,2
10,1485,101.9,4,2
10,1530,101.9,4,2
10,1335,101.9,4,2
10,1500,101.9,4,2
10,1430,101.9,4,2
10,1310,101.9,4,2
10,1495,101.9,4,2
10,1320,101.9,4,2
10,1410,101.9,4,2
10,1375,101.9,4,2
10,1370,101.9,4,2
10,1290,133.0,5,2
10,1250,133.0,5,2
10,1300,133.0,5,2
10,1315,133.0,5,2
10,1310,133.0,5,2
10,1320,133.0,5,2
10,1300,133.0,5,2
10,1570,133.0,5,2
10,1260,133.0,5,2
10,1300,133.0,5,2
10,1245,133.0,5,2
10,1300,133.0,5,2
10,1200,133.0,5,2
10,1200,133.0,5,2
10,1200,133.0,5,2
10,1250,133.0,5,2
10,1300,133.0,5,2
10,1350,133.0,5,2
10,1350,231.3,6,2
10,1295,231.3,6,2
10,1280,231.3,6,2
10,1365,231.3,6,2
10,1450,231.3,6,2
10,1300,231.3,6,2
10,1250,231.3,6,2
10,1360,231.3,6,2
10,1325,231.3,6,2
10,1320,231.3,6,2
10,1340,231.3,6,2
10,1390,231.3,6,2
10,1250,231.3,6,2
10,1380,231.3,6,2
10,1310,231.3,6,2
10,1290,231.3,6,2
10,1327,37.6,7,2
10,1220,37.6,7,2
10,1370,37.6,7,2
10,1260,37.6,7,2
10,1350,37.6,7,2
10,1393,37.6,7,2
10,1386,37.6,7,2
10,1250,37.6,7,2
10,1210,37.6,7,2
10,1280,37.6,7,2
10,1180,37.6,7,2
10,1320,37.6,7,2
10,1120,37.6,7,2
10,1320,37.6,7,2
10,1200,37.6,7,2
10,1300,37.6,7,2
10,1350,37.6,7,2
10,1278,37.6,7,2
10,1190,37.6,7,2
10,1330,122.8,8,2
10,1200,122.8,8,2
10,1390,122.8,8,2
10,1320,122.8,8,2
10,1200,122.8,8,2
10,1500,122.8,8,2
10,1600,122.8,8,2
10,1480,122.8,8,2
10,1200,122.8,8,2
10,926,122.8,8,2
10,1280,122.8,8,2
10,1380,122.8,8,2
10,1350,122.8,8,2
10,1400,122.8,8,2
10,1200,122.8,8,2
10,1350,122.1,9,2
10,1200,122.1,9,2
10,1250,122.1,9,2
10,1550,122.1,9,2
10,1300,122.1,9,2
10,1500,122.1,9,2
10,1200,122.1,9,2
10,1400,122.1,9,2
10,1350,122.1,9,2
10,1780,122.1,9,2
10,1505,122.1,9,2
10,1200,122.1,9,2
10,1390,122.1,9,2
10,1430,122.1,9,2
10,1450,122.1,9,2
10,1360,74.4,10,2
10,1490,74.4,10,2
10,1300,74.4,10,2
10,1380,74.4,10,2
10,1300,74.4,10,2
10,1465,74.4,10,2
10,1300,74.4,10,2
10,1350,74.4,10,2
10,1400,74.4,10,2
10,1450,74.4,10,2
10,1300,74.4,10,2
10,1350,74.4,10,2
10,1364,74.4,10,2
10,1470,74.4,10,2
10,1200,74.4,10,2
10,1400,137.3,11,2
10,1300,137.3,11,2
10,1200,137.3,11,2
10,1380,137.3,11,2
10,1300,137.3,11,2
10,1363,137.3,11,2
10,1200,137.3,11,2
10,1200,137.3,11,2
10,1500,137.3,11,2
10,1255,137.3,11,2
10,1200,137.3,11,2
10,1200,137.3,11,2
10,1200,137.3,11,2
10,1300,137.3,11,2
10,1200,137.3,11,2
10,1230,137.3,11,2
10,1260,137.3,11,2
10,1445,6.0,12,2
10,1200,6.0,12,2
10,1500,6.0,12,2
10,1540,6.0,12,2
10,1400,6.0,12,2
10,1600,6.0,12,2
10,1560,6.0,12,2
10,1580,6.0,12,2
10,1465,6.0,12,2
10,1450,6.0,12,2
10,1640,6.0,12,2
10,1360,6.0,12,2
10,1670,6.0,12,2
10,1200,6.0,12,2
10,1575,101.9,4,2
10,1500,133.0,5,2
10,1475,133.0,5,2
10,1400,133.0,5,2
10,1200,231.3,6,2
10,1430,37.6,7,2
10,1300,37.6,7,2
10,1300,37.6,7,2
10,1200,37.6,7,2
10,1445,37.6,7,2
10,1200,122.8,8,2
10,1200,122.8,8,2
10,1535,122.8,8,2
10,1300,122.1,9,2
10,1200,122.1,9,2
10,1300,122.1,9,2
10,1200,74.4,10,2
10,1300,74.4,10,2
10,1200,74.4,10,2
10,1600,74.4,10,2
10,1200,137.3,11,2
10,1300,137.3,11,2
10,1500,6.0,12,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1400,0.9,1,2
10,1500,0.9,1,2
10,1500,0.9,1,2
10,1500,0.9,1,2
10,1400,0.0,2,2
10,1400,0.0,2,2
10,1500,0.0,2,2
10,1400,0.0,2,2
10,1300,0.0,2,2
10,1300,0.0,2,2
10,1400,0.0,2,2
10,1500,0.0,2,2
10,1400,30.4,3,2
10,1500,30.4,3,2
10,1500,30.4,3,2
10,1500,30.4,3,2
10,1500,30.4,3,2
10,1500,30.4,3,2
10,1500,30.4,3,2
10,1400,101.9,4,2
10,1500,101.9,4,2
10,1470,101.9,4,2
10,1300,101.9,4,2
10,1450,101.9,4,2
10,1300,101.9,4,2
10,1200,133.0,5,2
10,1250,133.0,5,2
