Karnataka,Bangalore,Bangalore,Green Peas,Pulses,35.00,2000,2300,2150,14 Jan 2008
Karnataka,Mysore,Mysore (Bandipalya),Green Peas,Pulses,10.00,2300,2400,2350,14 Jan 2008
Maharashtra,Kolhapur,Kolhapur(Laxmipuri),Other,Pulses,2.50,2300,2800,2600,14 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,18.70,2000,2800,2400,14 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,0.70,1000,1400,1200,14 Jan 2008
Manipur,Imphal East,Lamlong Bazaar,Other,Pulses,0.10,3000,3000,3000,14 Jan 2008
Manipur,Imphal West,Imphal,Other,Pulses,0.60,1350,1350,1350,14 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,97.80,700,900,800,14 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.40,800,1000,900,14 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,0.30,500,700,600,14 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,18.00,1050,1150,1100,14 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,35.00,600,800,700,14 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,8.00,2070,2113,2100,14 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,1.00,450,500,475,14 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,6.50,490,500,495,14 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,22.00,0,0,2025,14 Jan 2008
Gujarat,Dahod,Dahod,Other,Pulses,0.30,1550,1800,1700,15 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,1.05,600,800,700,15 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,5.00,1000,1000,1000,15 Jan 2008
Jammu and Kashmir,Jammu,Jammu (Grain Mandi),Other,Pulses,17.00,2550,2650,2600,15 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,2050,2150,0,15 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,14.20,2100,2450,2275,15 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,0.50,1000,1400,1200,15 Jan 2008
Manipur,Imphal East,Lamlong Bazaar,Other,Pulses,0.10,3000,3000,3000,15 Jan 2008
NCT of Delhi,Delhi,Shahdara,Other,Pulses,86.40,800,1000,900,15 Jan 2008
Punjab,Jalandhar,Shahkot,Other,Pulses,0.90,800,1000,900,15 Jan 2008
Punjab,Patiala,Samana,Other,Pulses,45.79,800,1100,1000,15 Jan 2008
Punjab,Sangrur,Bhawanigarh,Other,Pulses,0.60,700,900,800,15 Jan 2008
Rajasthan,Bikaner,Bikaner(F&V),Other,Pulses,15.80,1050,1150,1100,15 Jan 2008
Rajasthan,Kota,Kota (FV),Other,Pulses,31.00,600,800,700,15 Jan 2008
Rajasthan,Nagaur,Degana,Other,Pulses,4.50,2069,2121,2100,15 Jan 2008
Uttar Pradesh,Farukhabad,Farukhabad,Other,Pulses,4.00,400,550,500,15 Jan 2008
Uttar Pradesh,Fatehpur,Bindki,Other,Pulses,5.00,450,500,475,15 Jan 2008
Uttar Pradesh,Fatehpur,Jahanabad,Other,Pulses,14.60,380,400,390,15 Jan 2008
Uttar Pradesh,Lucknow,Lucknow,Other,Pulses,35.50,0,0,2000,15 Jan 2008
Uttar Pradesh,Sultanpur,Sultanpur,Other,Pulses,2.00,1850,1900,1875,15 Jan 2008
Chattisgarh,Raipur,Bhatapara,Other,Pulses,0.40,1400,1400,1400,16 Jan 2008
Haryana,Ambala,Naraingarh,Other,Pulses,0.95,600,700,650,16 Jan 2008
Haryana,Hissar,Uklana,Green Peas,Pulses,24.50,1000,1000,1000,16 Jan 2008
Jharkhand,Giridih,Giridih,Green Peas,Pulses,1.00,2050,2150,0,16 Jan 2008
Karnataka,Bangalore,Bangalore,Green Peas,Pulses,10.00,2000,2300,2150,16 Jan 2008
Maharashtra,Pune,Pune,Other,Pulses,10.30,2075,2200,2137,16 Jan 2008
Maharashtra,Satara,Karad,Other,Pulses,4.50,1200,1400,1300,16 Jan 2008
Maharashtra,Satara,Satara,Other,Pulses,0.60,1000,1400,1200,16 Jan 2008
